Nacionalidad;Pais_de_nacimiento;Periodo;Total
Bélgica;Total;2022S1;2230
Bélgica;Total;2021S2;2478
Bélgica;Total;2021S1;2195
Bélgica;Total;2020S2;1911
Bélgica;Total;2020S1;1312
Bélgica;Total;2019S2;2107
Bélgica;Total;2019S1;1900
Bélgica;Total;2018S2;1985
Bélgica;Total;2018S1;1782
Bélgica;Total;2017S2;2054
Bélgica;Total;2017S1;1757
Bélgica;Total;2016S2;1642
Bélgica;Total;2016S1;1322
Bélgica;Total;2015S2;1530
Bélgica;Total;2015S1;1175
Bélgica;Total;2014S2;1200
Bélgica;Total;2014S1;1066
Bélgica;Total;2013S2;1304
Bélgica;Total;2013S1;1015
Bélgica;Total;2012S2;1191
Bélgica;Total;2012S1;1008
Bélgica;Total;2011S2;1069
Bélgica;Total;2011S1;906
Bélgica;Total;2010S2;919
Bélgica;Total;2010S1;925
Bélgica;Total;2009S2;905
Bélgica;Total;2009S1;821
Bélgica;Total;2008S2;1013
Bélgica;Total;2008S1;901
Bélgica;España;2022S1;15
Bélgica;España;2021S2;17
Bélgica;España;2021S1;17
Bélgica;España;2020S2;14
Bélgica;España;2020S1;15
Bélgica;España;2019S2;14
Bélgica;España;2019S1;25
Bélgica;España;2018S2;22
Bélgica;España;2018S1;15
Bélgica;España;2017S2;22
Bélgica;España;2017S1;25
Bélgica;España;2016S2;28
Bélgica;España;2016S1;32
Bélgica;España;2015S2;13
Bélgica;España;2015S1;17
Bélgica;España;2014S2;28
Bélgica;España;2014S1;18
Bélgica;España;2013S2;20
Bélgica;España;2013S1;17
Bélgica;España;2012S2;11
Bélgica;España;2012S1;17
Bélgica;España;2011S2;13
Bélgica;España;2011S1;13
Bélgica;España;2010S2;13
Bélgica;España;2010S1;13
Bélgica;España;2009S2;15
Bélgica;España;2009S1;14
Bélgica;España;2008S2;16
Bélgica;España;2008S1;10
Bélgica;Extranjero;2022S1;2215
Bélgica;Extranjero;2021S2;2461
Bélgica;Extranjero;2021S1;2178
Bélgica;Extranjero;2020S2;1897
Bélgica;Extranjero;2020S1;1297
Bélgica;Extranjero;2019S2;2093
Bélgica;Extranjero;2019S1;1875
Bélgica;Extranjero;2018S2;1963
Bélgica;Extranjero;2018S1;1767
Bélgica;Extranjero;2017S2;2032
Bélgica;Extranjero;2017S1;1732
Bélgica;Extranjero;2016S2;1615
Bélgica;Extranjero;2016S1;1290
Bélgica;Extranjero;2015S2;1518
Bélgica;Extranjero;2015S1;1158
Bélgica;Extranjero;2014S2;1172
Bélgica;Extranjero;2014S1;1048
Bélgica;Extranjero;2013S2;1284
Bélgica;Extranjero;2013S1;998
Bélgica;Extranjero;2012S2;1180
Bélgica;Extranjero;2012S1;990
Bélgica;Extranjero;2011S2;1056
Bélgica;Extranjero;2011S1;893
Bélgica;Extranjero;2010S2;906
Bélgica;Extranjero;2010S1;912
Bélgica;Extranjero;2009S2;890
Bélgica;Extranjero;2009S1;807
Bélgica;Extranjero;2008S2;997
Bélgica;Extranjero;2008S1;891
Bulgaria;Total;2022S1;1717
Bulgaria;Total;2021S2;1718
Bulgaria;Total;2021S1;1411
Bulgaria;Total;2020S2;1799
Bulgaria;Total;2020S1;1558
Bulgaria;Total;2019S2;2767
Bulgaria;Total;2019S1;2833
Bulgaria;Total;2018S2;2741
Bulgaria;Total;2018S1;2622
Bulgaria;Total;2017S2;3098
Bulgaria;Total;2017S1;2952
Bulgaria;Total;2016S2;2611
Bulgaria;Total;2016S1;2539
Bulgaria;Total;2015S2;2555
Bulgaria;Total;2015S1;2367
Bulgaria;Total;2014S2;2587
